user_id,book_id,book_title,rating
Sean Barrs,35031085,Frankenstein: The 1818 Text,5
Federico DN,35031085,Frankenstein: The 1818 Text,4
Emily May,35031085,Frankenstein: The 1818 Text,5
Leonard Gaya,35031085,Frankenstein: The 1818 Text,4
Bill Kerwin,35031085,Frankenstein: The 1818 Text,5
Mario the lone bookwolf,35031085,Frankenstein: The 1818 Text,4
Franco Santos,35031085,Frankenstein: The 1818 Text,5
La pecera de Raquel,35031085,Frankenstein: The 1818 Text,5
Maddie Fisher,35031085,Frankenstein: The 1818 Text,5
Charlotte May,1381,The Odyssey,5
Vit Babenco,1381,The Odyssey,5
Leonard Gaya,1381,The Odyssey,5
Kevin Ansbro,1381,The Odyssey,5
Glenn Russell,1381,The Odyssey,5
Lisa of Troy,1381,The Odyssey,3
Barry Pierce,1381,The Odyssey,4
Roy Lotz,1381,The Odyssey,5
Jennifer nyc,1381,The Odyssey,4
Elyse Walters,1381,The Odyssey,4
Riku Sayuj,1381,The Odyssey,5
Beth F,2429135,The Girl With the Dragon Tattoo,5
Miranda Reads,2429135,The Girl With the Dragon Tattoo,4
Meredith Holley,2429135,The Girl With the Dragon Tattoo,4
Nilufer Ozmekik,2429135,The Girl With the Dragon Tattoo,5
Taufiq Yves,2429135,The Girl With the Dragon Tattoo,5
Riku Sayuj,2429135,The Girl With the Dragon Tattoo,4
Kelli Marko,2429135,The Girl With the Dragon Tattoo,2
Paul Bryant,2429135,The Girl With the Dragon Tattoo,3
Julie Ruble,3636,The Giver,3
James Carroll,3636,The Giver,5
Lisa of Troy,3636,The Giver,5
Miranda Reads,3636,The Giver,4
Federico DN,3636,The Giver,4
Jeffrey Keeten,3636,The Giver,3
jessica yeung,3636,The Giver,5
Emily May,3636,The Giver,3
Taufiq Yves,3636,The Giver,3
Mohammed Arabey,3636,The Giver,5
mark monday,3636,The Giver,4
Tharindu Dissanayake,77203,The Kite Runner,5
Lisa of Troy,77203,The Kite Runner,5
Will Byrnes,77203,The Kite Runner,5
jessica yeung,77203,The Kite Runner,5
Nilufer Ozmekik,77203,The Kite Runner,5
Federico DN,77203,The Kite Runner,5
Mario the lone bookwolf,77203,The Kite Runner,5
Ahmed Ibrahim,77203,The Kite Runner,5
Henry Avila,77203,The Kite Runner,5
Jackie Gill,77203,The Kite Runner,2
Lisa of Troy,33574273,A Wrinkle in Time,3
Elyse Walters,33574273,A Wrinkle in Time,5
Federico DN,33574273,A Wrinkle in Time,3
Nilufer Ozmekik,33574273,A Wrinkle in Time,4
Bryon Cahill,33574273,A Wrinkle in Time,1
Jasmine from How Useful It Is,33574273,A Wrinkle in Time,5
Jason Koivu,33574273,A Wrinkle in Time,3
Richard Derus,33574273,A Wrinkle in Time,4
Paul Eckert,33574273,A Wrinkle in Time,1
Cindy Pham,5,Harry Potter and the Prisoner of Azkaban,4
Wil Wheaton,5,Harry Potter and the Prisoner of Azkaban,4
Hannah Azerang,5,Harry Potter and the Prisoner of Azkaban,5
Nilufer Ozmekik,5,Harry Potter and the Prisoner of Azkaban,5
Tharindu Dissanayake,5,Harry Potter and the Prisoner of Azkaban,5
Kierra Lewis,5,Harry Potter and the Prisoner of Azkaban,5
Lisa of Troy,5,Harry Potter and the Prisoner of Azkaban,3
Bryce Rocks My Socks,5,Harry Potter and the Prisoner of Azkaban,4
Luca Ambrosino,5,Harry Potter and the Prisoner of Azkaban,5
Chelsea Humphrey,5,Harry Potter and the Prisoner of Azkaban,4
Miranda Reads,5,Harry Potter and the Prisoner of Azkaban,5
Rajat Ubhaykar,44767458,Dune,5
John Wiswell,44767458,Dune,2
Lisa of Troy,44767458,Dune,5
Jack Edwards,44767458,Dune,2
Lala BooksandLala,44767458,Dune,5
Sean Barrs,44767458,Dune,5
Mario the lone bookwolf,44767458,Dune,5
Leonard Gaya,44767458,Dune,5
Michael Finocchiaro,44767458,Dune,5
Nilufer Ozmekik,44767458,Dune,5
Lisa of Troy,19543,Where the Wild Things Are,5
Tim Null,19543,Where the Wild Things Are,5
jessica yeung,19543,Where the Wild Things Are,4
Michael Finocchiaro,19543,Where the Wild Things Are,5
Jon Nakapalau,19543,Where the Wild Things Are,5
Jason Koivu,19543,Where the Wild Things Are,5
Meg Sherman,19543,Where the Wild Things Are,5
Amanda NEVER MANDY,19543,Where the Wild Things Are,5
Mark Lawrence,23772,Green Eggs and Ham,5
Kevin Bose,23772,Green Eggs and Ham,1
Jason Koivu,23772,Green Eggs and Ham,5
Lisa of Troy,12232938,The Lovely Bones,2
Emily May,12232938,The Lovely Bones,1
Claire Greene,12232938,The Lovely Bones,1
Nilufer Ozmekik,12232938,The Lovely Bones,4
Julia Ash,12232938,The Lovely Bones,5
Bill Kerwin,12232938,The Lovely Bones,2
jv poore,12232938,The Lovely Bones,4
S C Tisdale,12232938,The Lovely Bones,1
Jennifer Wardrip,12232938,The Lovely Bones,5
Jason Koivu,12232938,The Lovely Bones,3
Petra X,2956,The Adventures of Huckleberry Finn,5
Nathan Eilers,2956,The Adventures of Huckleberry Finn,5
Mario the lone bookwolf,2956,The Adventures of Huckleberry Finn,4
Lisa of Troy,2956,The Adventures of Huckleberry Finn,2
Tharindu Dissanayake,2956,The Adventures of Huckleberry Finn,5
Tim Null,2956,The Adventures of Huckleberry Finn,4
Glenn Sumi,2956,The Adventures of Huckleberry Finn,5
Ahmad Ebaid,2956,The Adventures of Huckleberry Finn,5
Maziyar Yf,2956,The Adventures of Huckleberry Finn,3
Michael Perkins,2956,The Adventures of Huckleberry Finn,5
Jay Schutt,2956,The Adventures of Huckleberry Finn,4
Miranda Reads,4214,Life of Pi,4
Federico DN,4214,Life of Pi,5
jessica yeung,4214,Life of Pi,5
Lisa of Troy,4214,Life of Pi,5
Adrian Rush,4214,Life of Pi,1
Sean Barrs,4214,Life of Pi,4
Vit Babenco,4214,Life of Pi,5
Jim Fonseca,4214,Life of Pi,3
Mohammed Arabey,4214,Life of Pi,4
Kevin Ansbro,4214,Life of Pi,4
Taufiq Yves,4214,Life of Pi,5
Richard Derus,4214,Life of Pi,2
Teresa Jusino,4214,Life of Pi,4
Kimber Silver,4214,Life of Pi,4
Paul Bryant,4214,Life of Pi,3
Sean Barrs,7604,Lolita,5
Emily May,7604,Lolita,5
Charlotte May,7604,Lolita,1
Paul Bryant,7604,Lolita,5
Lisa of Troy,7604,Lolita,5
Michael Finocchiaro,7604,Lolita,5
Vit Babenco,7604,Lolita,5
Luca Ambrosino,7604,Lolita,4
Leonard Gaya,7604,Lolita,4
Glenn Russell,7604,Lolita,5
Melissa Rudder,1953,A Tale of Two Cities,5
Mario the lone bookwolf,1953,A Tale of Two Cities,4
